participantNumber,user_id,session_id,browser,avg_task_duration,total_gaze_points,total_emotions,total_interactions,positive_emotions,negative_emotions,neutral_emotions,emotion_transitions_count,gaze_num_fixations,gaze_avg_fixation_duration,gaze_dispersion_x,gaze_dispersion_y
,session_1749386448827_m8sgh5br2,session_1749386448827_m8sgh5br2,Chrome,28476.666666666668,227,241,6,42,0,199,4,40,232.775,393.08827293640286,134.32848062594408
,session_1749386728982_ie2dnevio,session_1749386728982_ie2dnevio,Firefox,34840.666666666664,554,506,6,0,198,308,94,127,458.7795275590551,271.9108133514774,185.50081426372486
,session_1749386861781_c1kai4uqe,session_1749386861781_c1kai4uqe,Chrome,0.0,5,5,0,0,0,5,0,2,110.0,57.802117316756934,6.316902059700861
,session_1749387141668_sxhdnk6m4,session_1749387141668_sxhdnk6m4,Chrome,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
,session_1749388156768_rv8jh4j5c,session_1749388156768_rv8jh4j5c,Chrome,0.0,7,0,0,0,0,0,0,2,167.0,31.44688567046435,68.41767341476576
,session_1749388339543_ecxt0qe0v,session_1749388339543_ecxt0qe0v,Chrome,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
,session_1749388600648_9jla3nqxg,session_1749388600648_9jla3nqxg,Chrome,0.0,3,0,0,0,0,0,0,1,560.0,5.525062110015677,3.066673699575599
,session_1749388818576_o7dqsm2by,session_1749388818576_o7dqsm2by,Chrome,0.0,3,0,0,0,0,0,0,1,182.0,27.654797073394878,31.34400838629335
,session_1749389104771_boxdrx4z6,session_1749389104771_boxdrx4z6,Chrome,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
,session_1749389319636_yxcpdy831,session_1749389319636_yxcpdy831,Chrome,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
,session_1749390056401_mwy41vy3i,session_1749390056401_mwy41vy3i,Chrome,0.0,3,0,0,0,0,0,0,0,0.0,74.50106331197232,38.85080595440573
,session_1749390628877_c6e1a2g25,session_1749390628877_c6e1a2g25,Chrome,23215.666666666668,487,480,6,86,10,384,20,117,231.17948717948718,307.1415522060722,175.64825257601902
,session_1749390844223_o38zdkcwl,session_1749390844223_o38zdkcwl,Firefox,24642.0,235,171,6,0,3,168,6,6,282.8333333333333,3338.256535513576,848.2490628045613
,session_1749390943382_atjhc81y5,session_1749390943382_atjhc81y5,Chrome,0.0,2,1,0,0,0,1,0,0,0.0,41.36711068896095,2.4615056898861276
,session_1749391274183_fhqysw5lj,session_1749391274183_fhqysw5lj,Chrome,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
,test_session,test_session,test_browser,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
